date,event_name,event_category,brief_description,source,mechanism
2022-07-19,China Warns Against Pelosi Taiwan Visit,Diplomatic Shock,China warned of strong measures if Pelosi visited Taiwan,https://www.axios.com/2022/07/19/china-pelosi-taiwan-visit,Risk
2022-08-02,Pelosi Visit,Diplomatic Shock,U.S. House Speaker Nancy Pelosi visited Taiwan amid PRC warnings,https://www.cnbc.com/2022/08/02/china-ratchets-up-military-and-economic-pressure-on-taiwan-as-pelosi-begins-her-visit-.html,Risk
2022-08-03,China Trade Restrictions After Pelosi Visit,Economic Coercion,China blocked selected Taiwan imports and halted natural sand exports,https://www.cfr.org/blog/china-punishes-taiwan-pelosis-visit-what-comes-next,Risk
2022-08-04,PLA Military Exercises After Pelosi Visit,Military Demonstration,China conducted major military drills and fired missiles near Taiwan,https://www.investing.com/news/stock-market-news/suspected-drones-over-taiwan-cyber-attacks-after-pelosi-visit-2862740,Risk
2022-10-07,BIS Advanced Semiconductor Export Controls,Technology Competition,U.S. imposed advanced computing and semiconductor manufacturing controls on China,https://www.bis.gov/press-release/commerce-implements-new-export-controls-advanced-computing-semiconductor-manufacturing-items-peoples,Strategic_Importance
2022-12-06,TSMC Arizona US$40B Expansion,Technology Competition,TSMC announced updates expanding Arizona investment to about US$40 billion,https://pr.tsmc.com/english/news/2977,Strategic_Importance
2023-04-05,Tsai-McCarthy Meeting,Diplomatic Shock,Taiwan President Tsai Ing-wen met U.S. House Speaker Kevin McCarthy in California,https://www.axios.com/2023/04/05/mccarthy-meet-tsai-taiwan-china-threats,Risk
2023-04-08,Joint Sword 2023,Military Demonstration,PLA launched Joint Sword exercises around Taiwan after the Tsai-McCarthy meeting,https://chinapower.csis.org/tracking-chinas-april-2023-military-exercises-around-taiwan/,Risk
2023-08-12,Lai U.S. Transit,Diplomatic Shock,Taiwan Vice President Lai Ching-te transited through the United States,https://www.aljazeera.com/news/2023/8/19/china-launches-military-drills-in-stern-warning-to-taiwan-after-us-visit,Risk
2023-08-19,PLA Drills After Lai U.S. Transit,Military Demonstration,China launched military drills around Taiwan after Lai's U.S. transit,https://www.aljazeera.com/news/2023/8/19/china-launches-military-drills-in-stern-warning-to-taiwan-after-us-visit,Risk
2023-08-26,China Sends Aircraft and Vessels After U.S. Arms Sale,Military Demonstration,China sent aircraft and vessels toward Taiwan after a U.S. arms sale approval,https://apnews.com/article/eb8722669ffe806ea9e92cae3fc3577f,Risk
2024-01-13,Lai Wins Taiwan Presidential Election,Political Signaling,Taiwan elected Lai Ching-te despite PRC warnings,https://www.axios.com/2024/01/13/taiwan-election-2024-results-dpp-kmt-china-update,Risk
2024-01-15,Nauru Switches Recognition to China,Diplomatic Shock,Nauru severed diplomatic ties with Taiwan and recognized China,https://apnews.com/article/f8c6b74c03b61b51415c00b9e2bc32e1,Risk
2024-02-14,Kinmen Boat Capsizing Incident,Political Signaling,A Chinese boat capsized during a Taiwan coast guard pursuit near Kinmen,https://factcheck.afp.com/doc.afp.com.34KC4RJ,Risk
2024-02-18,China Coast Guard Patrols Near Kinmen,Military Demonstration,China said it would step up coast guard patrols near Taiwan's Kinmen archipelago,https://apnews.com/article/c054f13464310ad4d13872a410f73e9b,Risk
2024-04-08,TSMC CHIPS Act Preliminary Terms,Technology Competition,U.S. Commerce announced preliminary CHIPS Act terms with TSMC,https://www.commerce.gov/news/press-releases/2024/04/biden-harris-administration-announces-preliminary-terms-tsmc-expanded,Strategic_Importance
2024-05-20,Lai Ching-te Inauguration,Political Signaling,Lai Ching-te was inaugurated as Taiwan president,https://chinapower.csis.org/china-respond-inauguration-taiwan-william-lai-joint-sword-2024a-military-exercise/,Risk
2024-05-23,Joint Sword-2024A,Military Demonstration,PLA launched Joint Sword-2024A exercises around Taiwan after Lai's inauguration,https://www.mnd.gov.tw/en/Publication/83035,Risk
2024-06-21,PRC Judicial Guidelines on Taiwan Independence,Political Signaling,China issued guidelines for punishing diehard Taiwan independence separatists,https://english.scio.gov.cn/pressroom/2024-06/21/content_117267501.htm,Risk
2024-10-10,Lai National Day Speech,Political Signaling,Lai's National Day speech preceded renewed PRC military pressure,https://chinapower.csis.org/china-taiwan-joint-sword-2024b-coast-guard/,Risk
2024-10-14,Joint Sword-2024B,Military Demonstration,PLA launched Joint Sword-2024B exercises around Taiwan,https://chinapower.csis.org/china-taiwan-joint-sword-2024b-coast-guard/,Risk
2025-01-22,PLA Joint Combat Readiness Patrols Around Taiwan,Military Demonstration,PLA aircraft and warships surrounded Taiwan during joint combat readiness patrols,https://www.taipeitimes.com/News/taiwan/archives/2025/01/24/2003830754,Risk
2025-03-04,TSMC US$165B U.S. Expansion,Technology Competition,TSMC announced plans to expand U.S. investment to US$165 billion,https://pr.tsmc.com/english/news/3210,Strategic_Importance
2025-04-01,Strait Thunder-2025A,Military Demonstration,China launched major drills around Taiwan simulating attacks and maritime blockades,https://www.npr.org/2025/04/01/g-s1-57434/china-military-exercises-taiwan,Risk
2025-12-29,Justice Mission 2025,Military Demonstration,China launched live-fire military drills around Taiwan simulating blockade operations,https://www.theguardian.com/world/2025/dec/29/china-live-fire-military-drills-around-taiwan,Risk
