event_name,event_date,mechanism,matched_trading_date,twse_day0_ar,tsmc_day0_ar,twse_car_1,tsmc_car_1,twse_car_3,tsmc_car_3,twse_car_7,tsmc_car_7
China Warns Against Pelosi Taiwan Visit,2022-07-19,Risk,2022-07-19,-3.281908814596457,-5.519727694487253,-4.5906980944880775,-7.195844476224478,-2.616151191717398,-4.560088724736911,-5.8369379824673056,-8.601872601905669
Pelosi Visit,2022-08-02,Risk,2022-08-02,-1.4014975344401215,-2.2610838551581858,-3.7859975874112717,-3.077750882670227,-1.9399346178358927,-0.08338049544529547,-1.8635864860065299,1.8572276153865368
China Trade Restrictions After Pelosi Visit,2022-08-03,Risk,2022-08-03,-2.38450005297115,-0.8166670275120413,-3.304614989947108,-1.9316212783736075,-0.5389712408560787,3.008914455925616,-1.953939318388076,1.7093837631669269
PLA Military Exercises After Pelosi Visit,2022-08-04,Risk,2022-08-04,-0.9201149369759576,-1.1149542508615662,1.8460629695753794,2.994370387224932,3.234876343320092,8.009677770846002,0.6505048001321123,3.3772545376703835
BIS Advanced Semiconductor Export Controls,2022-10-07,Strategic_Importance,2022-10-07,2.435084800104559,3.1796841080104166,2.435084800104559,3.1796841080104166,2.3331270881854715,3.0799710252856105,-0.7567517025484083,4.449693545551015
TSMC Arizona US$40B Expansion,2022-12-06,Strategic_Importance,2022-12-06,0.32101408100253526,0.10693345962590195,0.16123507829558514,-0.5102074624374953,0.2539882206299082,-0.936221047834529,2.174161928836116,0.9648982182288819
Joint Sword 2023,2023-04-08,Risk,2023-04-10,,,0.6718097652438138,-0.38393182694540506,-1.1467891646168238,-1.9749199160308706,-1.2836697789348706,-1.0285756266755541
Lai U.S. Transit,2023-08-12,Risk,2023-08-14,-2.301982795792634,-3.786670405925574,-0.7883531965400148,-1.9010712938345664,1.9056646420338108,1.5159669961141375,-0.7368511253419086,-1.480342547030633
PLA Drills After Lai U.S. Transit,2023-08-19,Risk,2023-08-21,-1.554934973168809,-3.2011862638750777,-1.2737047552399794,-1.5281280821970222,1.024194367993525,3.9234770099248806,-3.3276283802575746,-2.235939754434879
China Sends Aircraft and Vessels After U.S. Arms Sale,2023-08-26,Risk,2023-08-28,-0.6743968898945019,-0.6583424510854252,-1.722681212587318,-2.703847944040505,-2.307926802592142,-4.378045357215921,-1.4820304319891675,-4.450765776374821
TSMC CHIPS Act Preliminary Terms,2024-04-08,Strategic_Importance,2024-04-08,,,1.5296800862910631,3.65643172688932,0.47757228847420397,3.0114558331448498,2.588697019798891,8.13600345551726
Lai Ching-te Inauguration,2024-05-20,Risk,2024-05-20,-0.5907292457206115,-2.153916253683774,-0.9794785769451697,-1.1220115658732488,1.3367025473357996,1.8693324202643913,-0.2748840782656692,0.03124975811950037
Joint Sword-2024A,2024-05-23,Risk,2024-05-23,0.6478842810802354,1.2893390761426038,-0.6508732664251449,-1.4770791429128294,-0.6508732664251449,-1.4770791429128294,-0.9806300257442557,-0.4712477737844889
PRC Judicial Guidelines on Taiwan Independence,2024-06-21,Risk,2024-06-21,-0.47056122605776407,0.15266316176129058,-1.2729856582394339,0.07547615592384815,-2.272061671222403,0.685444978552463,-3.9926289250383995,-1.0080520524623715
Joint Sword-2024B,2024-10-14,Risk,2024-10-14,-0.549321448913509,-1.8041810925232937,1.8405359109467612,5.871464346391664,0.5034429370873283,1.4216822533902556,2.249075204629003,5.348844579001689
PLA Joint Combat Readiness Patrols Around Taiwan,2025-01-22,Risk,2025-01-22,-0.31096553352008005,-0.3487321171263824,-0.31096553352008005,-0.3487321171263824,-0.31096553352008005,-0.3487321171263824,-0.31096553352008005,-0.3487321171263824
TSMC US$165B U.S. Expansion,2025-03-04,Strategic_Importance,2025-03-04,-0.34595186587252913,-2.597664996405913,-0.5922028021687509,-2.6886644369170543,0.013471146040744397,-2.7876765387474856,2.209557674543194,-3.038492478355659
Strait Thunder-2025A,2025-04-01,Risk,2025-04-01,1.9525521982805438,3.454564126129056,1.1711238774659183,2.348586536464714,1.1711238774659183,2.348586536464714,-5.09066632485461,-2.4802097141155346
